# lambda_1A lambda_2A lambda_3A eigen1_xA eigen1_yA eigen1_zA eigen3_xA eigen3_yA eigen3_zA# lambda_1B lambda_2B lambda_3B eigen1_xB eigen1_yB eigen1_zB eigen3_xB eigen3_yB eigen3_zB 
# 46
0.936941 0.165363 0.018518 0.212123 -0.615350 0.759176 -0.681633 0.463512 0.566157 0.937600 0.153498 -0.066795 0.210180 -0.560184 0.801260 -0.838751 0.317769 0.442175 
1.009439 0.281144 -0.109417 -0.937621 0.325594 0.121882 -0.048084 -0.468660 0.882069 1.009439 0.281144 -0.109417 -0.937621 0.325594 0.121882 -0.048084 -0.468660 0.882069 
2.217131 0.306290 -0.355117 0.664031 -0.173488 0.727299 0.001863 0.973090 0.230418 2.217131 0.306290 -0.355117 0.664031 -0.173488 0.727299 0.001863 0.973090 0.230418 
0.522041 0.290106 -0.007255 0.091470 -0.797841 0.595888 -0.862824 0.235252 0.447428 0.522041 0.290106 -0.007255 0.091470 -0.797841 0.595888 -0.862824 0.235252 0.447428 
0.691618 0.311634 0.229902 0.839148 -0.397528 0.371218 -0.449294 -0.891286 0.061185 0.691618 0.311634 0.229902 0.839148 -0.397528 0.371218 -0.449294 -0.891286 0.061185 
0.612501 0.306661 -0.042876 -0.068410 -0.709876 0.700996 0.770009 0.409202 0.489530 0.737239 0.519049 -0.015214 -0.080928 -0.709304 0.700241 0.720490 0.443824 0.532836 
0.589959 0.321000 0.187143 0.290666 0.114719 0.949922 -0.369783 -0.902181 0.222103 0.520953 0.280085 0.026375 0.230186 0.075130 0.970242 -0.951469 0.226645 0.208182 
0.681450 0.054805 -0.177509 0.364287 0.586470 0.723428 -0.534962 -0.504077 0.678028 0.703395 0.059328 -0.127210 0.192584 0.606131 0.771697 -0.503674 -0.613861 0.607855 
0.528559 0.098924 -0.106326 0.659166 0.242935 0.711676 -0.618628 -0.362890 0.696857 0.528559 0.098924 -0.106326 0.659166 0.242935 0.711676 -0.618628 -0.362890 0.696857 
0.764118 0.594094 0.011847 0.478997 -0.324622 0.815587 -0.874490 -0.095656 0.475517 0.634013 0.430946 0.130988 0.355337 -0.652813 0.669007 -0.857656 0.056906 0.511065 
0.840947 0.257246 -0.038250 -0.375246 -0.046214 0.925772 0.496304 0.833511 0.242777 0.840947 0.257246 -0.038250 -0.375246 -0.046214 0.925772 0.496304 0.833511 0.242777 
0.840947 0.257246 -0.038250 -0.375246 -0.046214 0.925772 0.496304 0.833511 0.242777 0.840947 0.257246 -0.038250 -0.375246 -0.046214 0.925772 0.496304 0.833511 0.242777 
0.656566 0.322244 -0.172693 0.132132 -0.467435 0.874097 0.763584 0.610284 0.210931 0.799876 0.340936 -0.176720 0.073484 -0.522216 0.849642 0.750298 0.590197 0.297861 
0.912526 0.311013 0.118569 0.319413 -0.909895 0.264701 0.017566 0.284971 0.958375 0.912526 0.311013 0.118569 0.319413 -0.909895 0.264701 0.017566 0.284971 0.958375 
0.780936 0.419667 0.019528 -0.004488 -0.688333 0.725381 -0.988610 0.112176 0.100331 0.790766 0.490605 0.045842 0.043884 -0.550348 0.833781 -0.997522 0.021797 0.066889 
0.790766 0.490605 0.045842 0.043884 -0.550348 0.833781 -0.997522 0.021797 0.066889 0.780936 0.419667 0.019528 -0.004488 -0.688333 0.725381 -0.988610 0.112176 0.100331 
1.016081 0.475640 0.006335 -0.697036 -0.675531 0.240415 -0.462775 0.679936 0.568794 1.039902 0.497559 0.156216 -0.652067 -0.749714 0.112859 -0.486888 0.528196 0.695664 
1.187326 0.861742 0.602362 -0.384842 0.608355 0.694119 0.887562 0.450259 0.097467 1.187326 0.861742 0.602362 -0.384842 0.608355 0.694119 0.887562 0.450259 0.097467 
0.962128 0.550680 0.035690 -0.381686 -0.418949 0.823891 0.761891 0.362051 0.537067 0.810997 0.459795 0.032419 -0.555167 -0.251810 0.792705 0.749236 0.262436 0.608089 
0.800124 0.371315 0.260294 -0.795237 -0.048797 0.604332 0.485268 -0.648779 0.586175 0.708376 0.436078 0.289204 -0.746968 0.022541 0.664478 0.552367 -0.535209 0.639095 
0.564162 0.139200 -0.033013 -0.792195 -0.309605 0.525901 0.089988 0.793071 0.602445 0.564162 0.139200 -0.033013 -0.792195 -0.309605 0.525901 0.089988 0.793071 0.602445 
0.184458 0.163844 -0.000693 -0.663542 0.424238 0.616226 0.665483 0.711035 0.227072 0.184458 0.163844 -0.000693 -0.663542 0.424238 0.616226 0.665483 0.711035 0.227072 
0.872184 0.714263 0.369074 0.903958 -0.091230 0.417776 0.053401 0.993413 0.101386 0.872184 0.714263 0.369074 0.903958 -0.091230 0.417776 0.053401 0.993413 0.101386 
0.539680 0.340625 0.078625 -0.702184 0.680934 0.208007 0.707133 0.701050 0.092155 0.539680 0.340625 0.078625 -0.702184 0.680934 0.208007 0.707133 0.701050 0.092155 
1.394216 1.068623 -0.044829 -0.125423 -0.956950 0.261757 0.385625 0.196070 0.901582 1.394216 1.068623 -0.044829 -0.125423 -0.956950 0.261757 0.385625 0.196070 0.901582 
0.528634 0.296795 0.231679 -0.375197 -0.893904 0.245282 -0.362113 0.384934 0.848941 0.543226 0.300087 0.223735 -0.123770 -0.979224 0.160630 0.709847 0.025742 0.703885 
0.904862 0.598171 0.376683 0.627232 -0.283468 0.725414 -0.547891 0.501373 0.669657 0.904862 0.598171 0.376683 0.627232 -0.283468 0.725414 -0.547891 0.501373 0.669657 
