# eigen3_x eigen3_y eigen3_z x1 y1 z1 x2 y2 z2 nx ny nz
0.770009 0.409202 0.489530 13.668000 183.669000 231.548000 13.971000 183.896000 231.568000 -0.246000 0.321000 0.089000
0.017566 0.284971 0.958375 71.386000 81.811000 93.030000 71.566000 81.941000 93.367000 -0.001000 -0.321000 0.124000
-0.988610 0.112176 0.100331 72.018000 161.182000 154.407000 72.374000 161.109000 154.352000 -0.045000 0.027000 -0.330000
-0.997522 0.021797 0.066889 72.374000 161.109000 154.352000 72.018000 161.182000 154.407000 -0.045000 0.027000 -0.330000
-0.462775 0.679936 0.568794 75.540000 92.663000 191.797000 75.252000 92.935000 192.053000 -0.030000 -0.120000 0.093000
-0.014938 -0.878014 0.478402 117.058000 181.521000 30.972000 116.888000 181.174000 30.878000 0.355000 -0.129000 -0.163000
0.044244 -0.695801 0.716870 122.654000 152.048000 59.477000 122.588000 151.732000 59.790000 0.037000 -0.227000 -0.221000
0.081555 0.966026 0.245239 136.396000 205.509000 3.042000 136.406000 205.137000 2.648000 -0.286000 0.025000 -0.030000
0.600225 -0.406676 0.688727 139.872000 164.083000 192.490000 140.195000 163.969000 192.851000 0.398000 0.005000 -0.356000
0.725627 0.433906 0.534033 145.609000 125.873000 66.792000 146.024000 126.158000 66.958000 0.277000 -0.326000 -0.131000
0.727485 0.482563 0.487748 146.024000 126.158000 66.958000 145.609000 125.873000 66.792000 0.277000 -0.326000 -0.131000
-0.588879 -0.001132 0.808221 146.536000 36.392000 19.171000 146.275000 36.679000 19.441000 0.034000 0.004000 0.029000
0.630824 0.721417 0.285691 155.753000 122.394000 170.997000 155.564000 122.832000 171.080000 0.023000 0.041000 -0.163000
