#x1 y1 z1 m1 x2 y2 z2 m2 nx ny nz disp1 disp2 sigmah ecc
#         206
   0.978 127.576 103.320  3.6233e+11   0.813 127.781 103.666  1.9371e+12   0.092  -0.306   0.226   0.160   0.117   50.6  0.982
   4.268 236.911 146.681  5.5298e+11   4.570 236.876 146.712  1.3692e+12   0.042   0.217  -0.169   0.249   0.190    0.0  0.992
   5.245 146.939 163.709  2.6301e+11   4.921 147.212 163.636  1.2626e+12  -0.367  -0.478  -0.155   0.349   0.280   50.4  0.859
   7.581 204.851 207.703  1.1426e+12   7.340 204.562 207.961  5.8483e+11   0.139  -0.144  -0.031   0.092   0.129   62.4  0.939
   9.204 114.670 152.057  2.2207e+12   9.726 114.792 152.178  4.9675e+11  -0.079   0.355  -0.020   0.120   0.111   50.2  0.889
   9.791  51.139 147.355  3.8225e+11   9.980  51.474 147.097  2.9683e+12  -0.232  -0.117  -0.323   0.383   0.514   57.8  0.904
  11.541 104.632 248.151  1.3020e+12  11.160 104.664 248.224  5.0542e+11  -0.012  -0.196   0.025   0.127   0.173   43.1  0.948
  11.670 131.312 182.745  7.1410e+10  11.439 131.437 183.165  1.7999e+12   0.392  -0.043   0.229   0.054   0.045   53.4  0.841
  12.363  47.284  60.729  1.6328e+11  12.224  47.355  61.171  1.5412e+12   0.187   0.031   0.054   0.078   0.054   43.3  0.902
  13.668 183.669 231.548  9.9675e+11  13.971 183.896 231.568  1.0424e+12  -0.246   0.321   0.089   0.188   0.125   47.7  0.992
  22.174  12.306 125.859  9.0746e+11  21.855  12.613 126.096  1.4268e+11   0.099  -0.076   0.231   0.112   0.120   39.9  0.977
  22.536 200.382  30.655  1.5691e+12  22.553 200.004  30.569  4.5759e+11  -0.316   0.059  -0.324   0.184   0.113   40.4  0.879
  23.907 231.042   8.655  1.0370e+12  24.139 231.382   8.667  3.8564e+11   0.161  -0.109  -0.000   0.101   0.117    0.0  0.907
  27.410  83.099 184.243  6.5854e+11  26.995  83.047 184.071  6.5420e+11   0.149  -0.326  -0.260   0.586   0.520   49.0  0.874
  31.369  84.744 189.484  5.7412e+11  31.397  84.904 189.790  3.5610e+11  -0.320  -0.282   0.177   0.684   0.582   50.9  0.869
  31.820 145.134 156.249  2.1026e+12  31.582 144.964 156.564  1.2053e+12   0.129  -0.263  -0.045   0.178   0.127   69.4  0.936
  32.373 168.953 179.786  6.5515e+11  32.320 169.328 179.938  8.1233e+11  -0.509  -0.149   0.191   0.106   0.083    0.0  0.809
  32.515 221.598  94.116  1.6850e+12  32.124 221.728  94.225  3.6477e+11  -0.008  -0.060   0.045   0.084   0.117   46.2  0.903
  35.988 117.370  43.990  9.0786e+10  35.724 117.082  44.039  1.3756e+12  -0.009  -0.100  -0.628   0.138   0.184    0.0  0.843
  36.129  29.041 112.727  2.5068e+11  35.927  29.115 113.116  7.7195e+11   0.264  -0.023   0.142   0.152   0.177   56.9  1.012
  38.924  83.950  64.259  5.0651e+11  38.936  84.168  64.517  1.1958e+12  -0.134   0.077  -0.059   0.137   0.212   59.8  0.982
  40.454  82.608  54.086  7.7412e+11  40.540  82.865  54.307  6.8632e+11   0.018   0.168  -0.203   0.280   0.367   68.4  0.941
  40.672  14.927  81.017  1.7859e+11  40.808  15.023  81.297  1.0394e+12   0.093   0.007  -0.048   0.290   0.191    0.0  0.968
  45.984 234.995  68.206  2.0407e+11  46.304 235.085  68.488  7.2317e+11   0.080   0.236  -0.166   0.037   0.077   64.0  0.974
  47.681 194.418  12.593  1.0600e+12  47.625 194.425  12.631  4.6680e+11  -0.148  -0.480  -0.130   0.232   0.631    0.0  0.977
  48.265 162.308  44.700  6.7344e+10  48.167 162.676  44.537  1.0416e+12  -0.165  -0.006   0.087   0.318   0.363   54.8  0.966
  48.429 248.083 236.771  7.4025e+11  48.918 248.019 236.963  1.7358e+11  -0.102   0.322   0.365   0.049   0.057   60.4  0.965
  50.009  19.661 180.743  9.8103e+11  50.391  20.030 180.851  1.3542e+12   0.023   0.002  -0.088   0.086   0.117   58.7  0.892
  50.649 245.486 232.659  9.4431e+11  50.346 245.562 232.769  1.6304e+12  -0.004  -0.271   0.177   0.540   0.417   46.9  0.928
  51.597 175.606 228.246  1.1165e+11  51.357 175.531 228.450  7.7331e+11   0.300  -0.373   0.217   0.469   0.456    0.0  0.834
  51.715  78.507 154.701  1.4501e+12  51.911  78.700 155.166  1.0258e+11   0.047   0.191  -0.099   0.000   0.000   52.7  0.955
