# lambda_1A lambda_2A lambda_3A eigen1_xA eigen1_yA eigen1_zA# lambda_1B lambda_2B lambda_3B eigen1_xB eigen1_yB eigen1_zB
# 122
0.936941 0.165363 0.018518 0.212123 -0.615350 0.759176 0.937600 0.153498 -0.066795 0.210180 -0.560184 0.801260 
1.009439 0.281144 -0.109417 -0.937621 0.325594 0.121882 1.009439 0.281144 -0.109417 -0.937621 0.325594 0.121882 
0.945397 0.774001 0.125341 -0.515827 0.003228 0.856687 0.945397 0.774001 0.125341 -0.515827 0.003228 0.856687 
2.217131 0.306290 -0.355117 0.664031 -0.173488 0.727299 2.217131 0.306290 -0.355117 0.664031 -0.173488 0.727299 
0.522041 0.290106 -0.007255 0.091470 -0.797841 0.595888 0.522041 0.290106 -0.007255 0.091470 -0.797841 0.595888 
0.691618 0.311634 0.229902 0.839148 -0.397528 0.371218 0.691618 0.311634 0.229902 0.839148 -0.397528 0.371218 
0.612501 0.306661 -0.042876 -0.068410 -0.709876 0.700996 0.737239 0.519049 -0.015214 -0.080928 -0.709304 0.700241 
0.924210 0.166534 -0.165213 -0.731191 0.404740 0.549132 0.908586 0.210138 -0.222290 -0.788977 0.283525 0.545095 
0.707360 0.048645 -0.042886 -0.099470 -0.915321 0.390247 0.731500 0.026506 -0.049095 -0.173235 -0.907823 0.381898 
0.589959 0.321000 0.187143 0.290666 0.114719 0.949922 0.520953 0.280085 0.026375 0.230186 0.075130 0.970242 
0.613595 -0.019842 -0.160540 0.822457 -0.282526 0.493705 0.613595 -0.019842 -0.160540 0.822457 -0.282526 0.493705 
0.544750 0.401633 -0.210574 -0.850767 -0.398656 0.342446 0.569403 0.355315 -0.164543 -0.793236 -0.496844 0.352028 
0.681450 0.054805 -0.177509 0.364287 0.586470 0.723428 0.703395 0.059328 -0.127210 0.192584 0.606131 0.771697 
0.528559 0.098924 -0.106326 0.659166 0.242935 0.711676 0.528559 0.098924 -0.106326 0.659166 0.242935 0.711676 
0.601164 0.486849 -0.443451 -0.210646 -0.164085 0.963693 0.527850 0.287530 -0.447344 -0.063948 -0.350964 0.934203 
1.019759 0.552620 0.194695 0.011270 0.959459 0.281624 1.019759 0.552620 0.194695 0.011270 0.959459 0.281624 
0.497870 0.198046 -0.035361 0.471206 -0.731461 0.492880 0.522249 0.183120 -0.023336 0.479243 -0.723650 0.496646 
0.958904 0.681623 0.387742 -0.583183 -0.180803 0.791964 0.958904 0.681623 0.387742 -0.583183 -0.180803 0.791964 
0.637033 0.132901 -0.042979 0.755233 -0.481247 0.445000 0.629973 0.064327 -0.099977 0.884656 -0.227950 0.406721 
0.604401 0.558109 0.226542 0.421494 -0.774328 0.471974 0.604401 0.558109 0.226542 0.421494 -0.774328 0.471974 
0.848561 0.459009 0.061677 -0.737710 -0.635236 0.228603 0.811150 0.441823 0.030812 -0.688056 -0.713031 0.134780 
