# lambda_1A lambda_2A lambda_3A eigen1_xA eigen1_yA eigen1_zA eigen3_xA eigen3_yA eigen3_zA# lambda_1B lambda_2B lambda_3B eigen1_xB eigen1_yB eigen1_zB eigen3_xB eigen3_yB eigen3_zB 
# 122
2.189518 1.204726 0.844949 0.255172 -0.666261 0.700702 -0.682427 0.389285 0.618668 2.611994 1.748702 1.472914 0.198080 -0.667354 0.717916 0.442471 0.714435 0.542035 
2.231144 1.492981 1.165100 -0.795230 0.576989 0.186259 -0.077337 -0.401224 0.912709 1.784140 1.171124 0.688185 -0.907000 0.333830 0.256727 -0.187348 -0.865818 0.463962 
2.700067 2.502308 1.119097 -0.342658 -0.264106 0.901573 0.796230 0.427685 0.427906 2.609860 2.197528 1.094116 -0.453702 -0.018062 0.890970 0.754716 0.523858 0.394938 
3.403936 2.290993 1.139959 0.691751 -0.132325 0.709909 0.147562 0.988227 0.040415 4.038188 2.766630 2.204628 0.654887 -0.360842 0.664016 0.404425 0.909580 0.095422 
2.015367 1.513949 1.267522 0.154767 -0.717378 0.679276 0.920964 0.353625 0.163627 1.725920 1.279915 0.713673 0.132997 -0.656842 0.742206 -0.971917 0.060250 0.227480 
1.634858 1.156229 0.772412 0.748330 -0.477588 0.460340 -0.213905 0.483168 0.848995 1.484411 1.245434 1.157487 0.797321 -0.413444 0.439708 0.212242 0.874063 0.436997 
2.040122 1.552156 0.812604 0.016318 -0.721154 0.692583 0.891579 0.324022 0.316381 2.412334 2.231537 1.057176 -0.067245 -0.684370 0.726027 0.743753 0.450664 0.493693 
2.173109 1.526308 1.118883 -0.796164 0.359201 0.486927 0.587253 0.264802 0.764862 1.982070 1.139416 1.010359 -0.848221 -0.008597 0.529573 0.528490 0.052205 0.847333 
1.612543 0.964452 0.316699 -0.015030 -0.844319 0.535629 0.623635 0.410811 0.665067 1.401679 0.921955 0.551118 -0.155797 -0.915741 0.370332 0.615414 0.203271 0.761542 
1.819263 1.731726 1.394600 0.611288 -0.383976 0.692018 0.444865 0.889906 0.100809 1.430604 1.235517 0.681019 0.016760 0.071566 0.997295 0.913423 -0.406776 0.013840 
1.028574 0.475257 0.252401 0.838155 -0.405961 0.364269 -0.342922 0.127133 0.930721 1.306522 0.719094 0.666541 0.778654 -0.375130 0.502968 0.397634 0.915100 0.066926 
1.595966 1.435491 0.392683 -0.883996 -0.230126 0.406932 0.180646 0.634692 0.751354 1.708363 1.613010 0.685339 -0.160120 -0.829945 0.534371 0.124550 0.520042 0.845011 
1.162909 0.886912 0.444851 -0.036211 0.805035 0.592122 -0.548516 -0.511293 0.661597 1.217765 0.937984 0.531215 -0.208261 0.787930 0.579477 -0.598196 -0.571349 0.561891 
1.072239 0.879965 0.592447 0.471175 0.162869 0.866872 -0.238971 -0.922475 0.303205 1.143924 0.910066 0.828563 0.604816 -0.045377 0.795071 -0.504564 -0.794252 0.338496 
1.079355 0.996577 0.143887 -0.763586 0.574968 0.293850 0.634179 0.753402 0.173791 0.875309 0.565854 -0.008957 -0.323748 -0.037224 0.945411 0.877588 0.361615 0.314761 
2.445450 1.826774 1.682464 -0.365706 0.903519 0.223412 0.449596 -0.038684 0.892394 1.956579 1.678364 0.968132 -0.551980 0.658550 0.511497 0.833834 0.431384 0.344424 
1.545082 1.292037 0.652748 0.535765 -0.766666 0.353805 0.539380 0.633134 0.555168 1.290524 0.970050 0.309563 0.557168 -0.737245 0.382142 0.451355 0.655147 0.605855 
3.489381 2.813548 1.981351 -0.666249 0.255565 0.700570 0.602648 0.737850 0.303960 2.872252 1.999090 1.078403 -0.696525 0.191055 0.691629 -0.207902 -0.976288 0.060316 
1.825350 1.196501 0.981379 0.711036 -0.569767 0.412059 0.181864 0.715091 0.674960 1.355462 0.795929 0.337813 0.856059 -0.339216 0.389995 -0.514766 -0.627662 0.584000 
2.307279 2.209535 1.441737 -0.291256 -0.081645 0.953155 0.637563 0.726258 0.257029 2.307279 2.209535 1.441737 -0.291256 -0.081645 0.953155 0.637563 0.726258 0.257029 
2.070524 1.686308 1.455909 -0.692489 -0.434697 0.575759 0.642470 -0.734623 0.218087 1.655888 1.342193 0.843236 -0.607011 -0.783832 0.130940 -0.697308 0.604377 0.385343 
3.524723 2.506616 1.332594 -0.802567 0.420830 0.422834 0.312092 -0.307873 0.898784 4.151282 2.990230 2.446656 -0.798558 0.455438 0.393551 0.520415 0.193878 0.831613 
1.986936 1.060305 0.959181 0.647287 -0.661041 0.379531 0.558320 0.750146 0.354344 1.951325 1.297434 0.975043 0.271407 -0.714297 0.645072 0.031551 0.676472 0.735792 
1.597197 1.138752 0.305656 -0.481834 0.134735 0.865842 0.487298 0.862426 0.136974 1.956170 1.243914 0.594160 -0.407645 -0.000771 0.913140 0.545329 0.801885 0.244124 
1.852730 1.325816 0.441921 -0.158729 -0.678174 0.717555 0.945529 0.104801 0.308208 1.981818 1.328660 0.678459 -0.189544 -0.676325 0.711799 0.957140 0.034413 0.287574 
1.956170 1.243914 0.594160 -0.407645 -0.000771 0.913140 0.545329 0.801885 0.244124 1.597197 1.138752 0.305656 -0.481834 0.134735 0.865842 0.487298 0.862426 0.136974 
1.464156 1.269920 0.661688 0.664687 -0.747121 0.001379 0.682066 0.607560 0.407010 1.744697 1.427803 0.712092 0.353248 -0.752458 0.555899 0.647874 0.625420 0.434867 
2.565061 1.832223 1.120222 0.371042 -0.870985 0.322044 0.528955 0.483274 0.697605 2.206627 1.521810 0.746061 0.444542 -0.885233 0.136913 0.403640 0.334411 0.851613 
2.656776 1.903643 1.404646 0.029492 -0.612072 0.790252 -0.992868 0.073427 0.093924 2.579797 2.265973 1.608410 -0.111928 -0.422765 0.899301 0.973572 0.134644 0.184469 
2.579797 2.265973 1.608410 -0.111928 -0.422765 0.899301 0.973572 0.134644 0.184469 2.656776 1.903643 1.404646 0.029492 -0.612072 0.790252 -0.992868 0.073427 0.093924 
1.396281 0.775900 0.445195 0.191230 -0.959805 0.205438 0.269913 0.252653 0.929147 1.504522 0.964428 0.598264 0.225603 -0.934484 0.275395 0.532527 0.355002 0.768367 
2.429188 1.874345 0.781666 -0.607263 -0.418436 0.675384 0.583978 0.341306 0.736533 1.969604 1.619239 0.563539 -0.581912 -0.596593 0.552680 0.421420 0.360025 0.832339 
2.428101 2.026947 0.880747 -0.701383 -0.618993 0.353425 -0.226679 0.663799 0.712732 2.878152 2.415233 1.626488 -0.442823 -0.757466 0.479743 -0.046111 0.553595 0.831508 
3.782918 3.257710 2.435738 -0.515459 0.527160 0.675577 0.723823 0.689844 0.013978 3.430319 3.340311 1.725223 -0.471219 0.878320 0.080666 0.863011 0.440250 0.247775 
3.076971 2.580980 1.318614 -0.358775 -0.511133 0.781040 0.709740 0.394086 0.583923 2.897430 2.575732 1.407591 -0.625468 -0.236666 0.743491 0.659242 0.349410 0.665817 
1.829943 1.208198 0.841842 0.236312 -0.270473 0.933274 -0.859937 -0.505399 0.071273 1.254065 0.910601 0.609654 -0.300036 0.921072 0.248203 -0.948819 -0.315043 0.022151 
1.163511 0.854159 0.428915 -0.836133 0.413034 0.360948 0.510641 0.826422 0.237218 1.178717 0.819037 0.474822 -0.843223 0.447788 0.297425 0.524804 0.805563 0.275045 
2.717052 2.458983 2.091075 -0.442654 0.387561 0.808612 0.548881 -0.595981 0.586120 3.311758 2.372670 2.149987 -0.616379 -0.093544 0.781874 0.785371 -0.000927 0.619025 
2.591142 1.640153 1.421319 -0.780559 0.424641 0.458701 0.614670 0.654808 0.439781 2.591142 1.640153 1.421319 -0.780559 0.424641 0.458701 0.614670 0.654808 0.439781 
1.911098 1.124248 0.784389 0.749283 -0.532951 0.393113 -0.353493 0.180103 0.917935 2.245844 1.585583 1.375321 0.653849 -0.551593 0.517906 0.489549 0.830323 0.266282 
2.743568 2.180863 1.580784 -0.694703 -0.015946 0.719120 0.717891 0.047112 0.694560 2.351291 1.956134 1.585046 -0.763781 -0.186407 0.617973 0.578213 0.227945 0.783397 
2.351291 1.956134 1.585046 -0.763781 -0.186407 0.617973 0.578213 0.227945 0.783397 2.743568 2.180863 1.580784 -0.694703 -0.015946 0.719120 0.717891 0.047112 0.694560 
1.615453 1.023779 0.713099 -0.713076 -0.236452 0.660010 0.108841 0.892661 0.437391 1.753222 1.333335 0.903901 -0.701991 -0.214972 0.678967 0.373060 0.701098 0.607690 
1.589866 0.969871 0.764095 -0.324208 0.327102 0.887634 0.899014 -0.185461 0.396709 1.644815 1.115105 0.783020 -0.420155 0.265360 0.867787 0.758211 -0.422760 0.496378 
1.153855 1.004683 0.530314 -0.650879 0.024629 0.758782 0.523001 0.739020 0.424640 1.143561 0.948402 0.605478 -0.614113 -0.028768 0.788694 0.458330 0.800549 0.386077 
2.609097 1.897935 1.493219 -0.955944 0.227428 0.185602 0.193638 0.013346 0.980982 2.934293 2.261047 1.571801 -0.949979 0.192314 0.246078 0.301088 0.354611 0.885210 
1.889640 1.414938 1.199418 -0.063308 -0.504280 0.861216 -0.844114 0.487424 0.223358 1.749983 1.427683 0.724306 -0.223079 -0.634562 0.739978 -0.854760 0.492276 0.164466 
2.129598 1.346814 0.988782 -0.463204 -0.016298 0.886102 0.248413 -0.962139 0.112159 2.487575 2.029929 1.494788 -0.343538 -0.307515 0.887365 0.749673 0.479317 0.456339 
2.095545 1.912137 1.103398 -0.786964 0.579039 0.213078 0.615225 0.710249 0.342118 2.095545 1.912137 1.103398 -0.786964 0.579039 0.213078 0.615225 0.710249 0.342118 
1.899955 1.490168 0.711765 -0.672552 0.016060 0.739876 0.539412 -0.673836 0.504955 2.486310 2.199061 1.498721 -0.733005 0.198787 0.650529 0.672246 0.065665 0.737410 
1.229530 0.741433 0.363595 -0.093403 0.029570 0.995189 0.982720 0.163171 0.087384 1.156923 0.733021 0.319102 -0.066274 0.060005 0.995996 0.997489 -0.020989 0.067638 
2.510822 2.016373 1.663322 -0.328347 -0.357660 0.874224 0.595076 0.640437 0.485516 2.510822 2.016373 1.663322 -0.328347 -0.357660 0.874224 0.595076 0.640437 0.485516 
1.356626 1.302696 0.260505 0.516034 0.496430 0.698044 -0.770127 -0.087866 0.631810 2.315745 2.171543 1.819127 0.511924 -0.798720 0.316196 0.789208 0.582655 0.194070 
1.408935 0.884707 0.722143 -0.283124 -0.787253 0.547789 -0.655418 0.575800 0.488756 1.465968 0.890241 0.841602 -0.194994 -0.788794 0.582907 -0.562021 0.576927 0.592695 
3.088492 2.807789 0.576869 0.249504 -0.955635 0.156556 0.321097 0.234166 0.917640 3.462613 3.378738 0.922033 0.231485 -0.957471 0.172233 0.447625 0.262016 0.854974 
2.554860 2.012780 1.076489 -0.016702 -0.912903 0.407835 0.971815 0.081108 0.221351 2.858781 2.524302 1.549190 0.001677 -0.892149 0.451737 0.810375 0.265890 0.522106 
1.758594 1.375937 1.108778 -0.358923 -0.750989 0.554246 -0.066157 0.612790 0.787472 1.456814 1.317730 0.527965 -0.218110 -0.894808 0.389546 0.275212 0.326561 0.904221 
1.959572 1.310242 0.813354 0.831353 -0.415184 0.369423 0.416512 0.905567 0.080419 2.215350 1.679325 1.361240 0.727390 -0.610165 0.314011 0.599625 0.787665 0.141540 
1.472451 0.801235 0.642913 0.120524 -0.732898 0.669578 0.023543 0.676415 0.736144 1.709966 0.904204 0.661506 0.164152 -0.813053 0.558569 0.201066 0.581941 0.787983 
1.783744 1.578071 0.375059 0.065866 0.675462 0.734447 -0.157886 -0.719718 0.676076 2.186821 1.887569 1.200815 -0.307193 0.566077 0.764977 -0.091082 -0.817644 0.568474 
2.948989 2.429355 1.941041 0.455851 -0.681767 0.572183 -0.341572 0.459638 0.819794 2.272042 2.166262 1.275154 0.790540 0.483822 0.375450 -0.452790 0.048976 0.890271 
1.759328 1.583215 0.847665 0.050292 -0.606165 0.793748 0.838488 0.457402 0.296180 1.759328 1.583215 0.847665 0.050292 -0.606165 0.793748 0.838488 0.457402 0.296180 
1.163334 0.511903 0.261535 -0.611729 0.316480 0.725002 -0.171625 -0.947753 0.268905 1.163334 0.511903 0.261535 -0.611729 0.316480 0.725002 -0.171625 -0.947753 0.268905 
1.163334 0.511903 0.261535 -0.611729 0.316480 0.725002 -0.171625 -0.947753 0.268905 1.163334 0.511903 0.261535 -0.611729 0.316480 0.725002 -0.171625 -0.947753 0.268905 
1.632304 1.071257 0.868519 0.264952 -0.821908 0.504249 0.412123 0.569292 0.711380 1.632304 1.071257 0.868519 0.264952 -0.821908 0.504249 0.412123 0.569292 0.711380 
2.868577 2.279997 1.414285 -0.811000 0.549299 0.201369 0.402372 0.273830 0.873564 2.309965 1.542115 0.822031 -0.811544 0.572867 0.114975 0.159242 0.027524 0.986856 
2.245746 1.835122 1.147420 -0.811095 0.462548 0.358014 -0.154920 -0.760104 0.631064 2.594128 1.974353 1.740535 -0.755450 0.234394 0.611846 0.244816 -0.765205 0.595421 
2.666153 2.029487 1.066720 -0.889305 0.215974 0.403103 0.436530 0.663616 0.607499 3.070615 2.591923 1.558357 -0.842237 0.501347 0.198210 0.489605 0.557429 0.670492 
2.247843 1.961053 0.788224 -0.961746 0.273045 0.022134 0.163286 0.506513 0.846630 2.747223 2.719054 1.415888 -0.727452 -0.326646 0.603420 0.252999 0.689767 0.678390 
1.980557 1.825130 0.872154 -0.441574 0.892237 0.094478 -0.890938 -0.448486 0.071344 2.824543 2.395359 1.800115 0.731089 -0.681568 0.031204 -0.682115 -0.731156 0.011371 
2.778844 2.215899 1.841883 -0.944941 0.130599 0.300051 0.266136 0.840236 0.472414 2.695602 2.135018 1.584935 -0.983626 0.179831 0.011905 0.119825 0.603206 0.788533 
