# lambda_1A lambda_2A lambda_3A eigen1_xA eigen1_yA eigen1_zA eigen2_xA eigen2_yA eigen2_zA eigen3_xA eigen3_yA eigen3_zA# lambda_1B lambda_2B lambda_3B eigen1_xB eigen1_yB eigen1_zB eigen2_xB eigen2_yB eigen2_zB eigen3_xB eigen3_yB eigen3_zB 
# 5481
0.861691 0.140685 -0.644415 -0.972492 0.175706 0.152930 -0.169383 -0.984095 0.053540 0.159905 0.026163 0.986786 0.861691 0.140685 -0.644415 -0.972492 0.175706 0.152930 -0.169383 -0.984095 0.053540 0.159905 0.026163 0.986786 
0.861691 0.140685 -0.644415 -0.972492 0.175706 0.152930 -0.169383 -0.984095 0.053540 0.159905 0.026163 0.986786 0.861691 0.140685 -0.644415 -0.972492 0.175706 0.152930 -0.169383 -0.984095 0.053540 0.159905 0.026163 0.986786 
1.534176 0.857393 -1.162362 0.093123 -0.897378 0.431324 -0.668323 0.264772 0.695155 0.738020 0.352998 0.575082 1.534176 0.857393 -1.162362 0.093123 -0.897378 0.431324 -0.668323 0.264772 0.695155 0.738020 0.352998 0.575082 
1.581777 0.985838 0.730416 0.672949 -0.633010 0.382673 -0.238996 0.303520 0.922364 -0.700015 -0.712161 0.052967 1.555935 1.085446 0.512676 0.733456 -0.583329 0.348954 -0.144465 0.367866 0.918588 -0.664208 -0.724156 0.185543 
1.534176 0.857393 -1.162362 0.093123 -0.897378 0.431324 -0.668323 0.264772 0.695155 0.738020 0.352998 0.575082 1.534176 0.857393 -1.162362 0.093123 -0.897378 0.431324 -0.668323 0.264772 0.695155 0.738020 0.352998 0.575082 
5.630391 5.420176 1.176491 0.099062 0.748159 0.656083 -0.981572 -0.034804 0.187896 0.163410 -0.662606 0.730924 5.630391 5.420176 1.176491 0.099062 0.748159 0.656083 -0.981572 -0.034804 0.187896 0.163410 -0.662606 0.730924 
7.896960 5.404709 4.467534 -0.528421 -0.711644 0.462962 0.694103 -0.048127 0.718265 -0.488868 0.700890 0.519386 7.210448 5.331717 5.053277 -0.526972 -0.801386 0.282985 0.452631 0.017178 0.891532 -0.719323 0.597901 0.353680 
5.630391 5.420176 1.176491 0.099062 0.748159 0.656083 -0.981572 -0.034804 0.187896 0.163410 -0.662606 0.730924 5.630391 5.420176 1.176491 0.099062 0.748159 0.656083 -0.981572 -0.034804 0.187896 0.163410 -0.662606 0.730924 
1.040630 0.692644 -0.737056 0.184133 0.425722 0.885921 0.809395 -0.577048 0.109069 -0.557652 -0.696976 0.450831 1.040630 0.692644 -0.737056 0.184133 0.425722 0.885921 0.809395 -0.577048 0.109069 -0.557652 -0.696976 0.450831 
1.912680 1.206264 0.796071 -0.997332 0.061588 0.039201 -0.001555 -0.554755 0.832012 0.072989 0.829731 0.553370 1.912680 1.206264 0.796071 -0.997332 0.061588 0.039201 -0.001555 -0.554755 0.832012 0.072989 0.829731 0.553370 
0.330301 0.078078 -0.521390 -0.321851 -0.876879 0.357066 0.946468 -0.307828 0.097162 0.024715 0.369223 0.929012 0.279059 0.030705 -0.509032 -0.289670 -0.860214 0.419670 0.957019 -0.253725 0.140497 -0.014377 0.442330 0.896737 
0.055435 -0.144833 -0.254998 -0.918941 -0.045479 0.391765 0.298559 0.568836 0.766347 0.257703 -0.821192 0.509149 0.060121 -0.143901 -0.227879 -0.946770 -0.088581 0.309483 0.194799 0.607737 0.769876 0.256281 -0.789183 0.558132 
0.362360 0.217088 -0.133157 0.969097 0.161371 0.186574 -0.223692 0.893706 0.388912 -0.103983 -0.418628 0.902185 0.362360 0.217088 -0.133157 0.969097 0.161371 0.186574 -0.223692 0.893706 0.388912 -0.103983 -0.418628 0.902185 
0.250415 -0.051518 -0.257057 -0.134825 -0.100547 0.985755 0.966187 0.207325 0.153296 -0.219785 0.973091 0.069195 0.267451 -0.092615 -0.256926 -0.090692 -0.032408 0.995352 0.992642 0.077577 0.092971 -0.080230 0.996459 0.025134 
0.847495 0.714742 0.134486 0.783204 -0.138381 0.606170 -0.508095 0.419479 0.752248 -0.358372 -0.897155 0.258228 0.837939 0.703016 0.080512 0.886153 -0.166847 0.432314 -0.338587 0.403811 0.849880 -0.316373 -0.899499 0.301346 
0.573344 0.322646 -0.670420 0.995439 -0.005285 0.095250 -0.009449 0.988091 0.153583 -0.094927 -0.153782 0.983534 0.224434 0.211825 -0.508707 -0.954577 0.297684 0.012914 0.292064 0.926216 0.238375 -0.058999 -0.231319 0.971087 
0.636288 0.441770 -0.148071 -0.651981 -0.453726 0.607499 0.757637 -0.421662 0.498184 0.030120 0.785070 0.618675 0.627210 0.349184 -0.208796 -0.912058 -0.268754 0.309711 0.410010 -0.609565 0.678470 0.006447 0.745789 0.666151 
0.937600 0.153498 -0.066795 0.210180 -0.560184 0.801260 0.502315 0.764995 0.403067 -0.838751 0.317769 0.442175 0.936941 0.165363 0.018518 0.212123 -0.615350 0.759176 0.700272 0.637574 0.321121 -0.681633 0.463512 0.566157 
1.646433 0.989831 -0.523503 0.766160 -0.621240 0.164497 -0.560858 -0.521409 0.643094 0.313746 0.584973 0.747911 1.866435 0.791414 -0.322211 0.696023 -0.705396 0.134047 -0.633175 -0.514952 0.577853 0.338587 0.487075 0.805057 
0.267451 -0.092615 -0.256926 -0.090692 -0.032408 0.995352 0.992642 0.077577 0.092971 -0.080230 0.996459 0.025134 0.250415 -0.051518 -0.257057 -0.134825 -0.100547 0.985755 0.966187 0.207325 0.153296 -0.219785 0.973091 0.069195 
0.896201 0.634815 -0.603312 -0.332085 -0.867430 0.370520 0.618428 0.096378 0.779909 -0.712226 0.488136 0.504437 0.921758 0.746086 -0.691196 0.361948 -0.443962 0.819690 0.653559 0.747861 0.116468 -0.664722 0.493560 0.560841 
0.936941 0.165363 0.018518 0.212123 -0.615350 0.759176 0.700272 0.637574 0.321121 -0.681633 0.463512 0.566157 0.937600 0.153498 -0.066795 0.210180 -0.560184 0.801260 0.502315 0.764995 0.403067 -0.838751 0.317769 0.442175 
0.224434 0.211825 -0.508707 -0.954577 0.297684 0.012914 0.292064 0.926216 0.238375 -0.058999 -0.231319 0.971087 0.573344 0.322646 -0.670420 0.995439 -0.005285 0.095250 -0.009449 0.988091 0.153583 -0.094927 -0.153782 0.983534 
2.031997 0.850909 0.292695 -0.397751 0.876138 0.272354 0.779969 0.166569 0.603244 -0.483159 -0.452368 0.749613 2.031997 0.850909 0.292695 -0.397751 0.876138 0.272354 0.779969 0.166569 0.603244 -0.483159 -0.452368 0.749613 
0.946151 0.425228 0.164351 -0.814183 0.109660 0.570158 0.272246 -0.795251 0.541718 0.512824 0.596281 0.617625 0.946151 0.425228 0.164351 -0.814183 0.109660 0.570158 0.272246 -0.795251 0.541718 0.512824 0.596281 0.617625 
0.187896 -0.055147 -0.136202 0.961328 0.021582 0.274561 -0.141997 0.893041 0.426982 -0.235979 -0.449457 0.861570 0.187896 -0.055147 -0.136202 0.961328 0.021582 0.274561 -0.141997 0.893041 0.426982 -0.235979 -0.449457 0.861570 
0.836307 0.138752 -0.020239 -0.930463 0.323691 0.171645 -0.070115 -0.617139 0.783724 0.359613 0.717191 0.596921 0.734688 0.113427 0.026770 -0.933449 0.303007 0.191989 0.020768 -0.488672 0.872220 0.358109 0.818160 0.449857 
1.084903 0.425407 -0.345270 0.887757 0.274125 0.369787 -0.454996 0.400840 0.795177 0.069753 -0.874176 0.480574 0.994482 0.311661 -0.261405 0.923857 0.135064 0.358114 -0.380727 0.420082 0.823758 -0.039177 -0.897379 0.439518 
0.906072 0.268797 -0.297723 -0.274256 -0.902835 0.331168 0.955153 -0.215755 0.202814 -0.111656 0.371939 0.921517 0.906072 0.268797 -0.297723 -0.274256 -0.902835 0.331168 0.955153 -0.215755 0.202814 -0.111656 0.371939 0.921517 
1.849347 0.940351 -0.359684 -0.308646 -0.950880 0.023749 -0.915284 0.303701 0.264613 0.258828 -0.059934 0.964062 2.967873 1.948080 0.831547 -0.353622 -0.892050 0.281421 -0.766819 0.448756 0.458919 0.535668 0.053515 0.842731 
0.372934 0.175469 0.119668 -0.216582 0.567811 0.794155 0.731532 -0.444294 0.517168 -0.646493 -0.692960 0.319146 0.372934 0.175469 0.119668 -0.216582 0.567811 0.794155 0.731532 -0.444294 0.517168 -0.646493 -0.692960 0.319146 
0.402458 0.165098 -0.270165 0.345810 -0.745067 0.570342 -0.937433 -0.300538 0.175776 -0.040445 0.595443 0.802379 0.458872 0.337417 -0.323235 0.405965 -0.765821 0.498709 -0.913127 -0.317634 0.255554 0.037302 0.559130 0.828240 
2.303579 1.384067 0.680113 0.051378 -0.992130 0.114187 -0.980083 -0.028129 0.196586 0.191827 0.122013 0.973815 2.303579 1.384067 0.680113 0.051378 -0.992130 0.114187 -0.980083 -0.028129 0.196586 0.191827 0.122013 0.973815 
0.715231 -0.007386 -0.194593 -0.678634 0.730802 0.073376 -0.461596 -0.502074 0.731335 0.571301 0.462438 0.678060 0.715231 -0.007386 -0.194593 -0.678634 0.730802 0.073376 -0.461596 -0.502074 0.731335 0.571301 0.462438 0.678060 
0.471999 0.076399 -0.542919 -0.174690 0.949580 0.260348 0.270861 -0.207867 0.939907 -0.946635 -0.234711 0.220892 0.471999 0.076399 -0.542919 -0.174690 0.949580 0.260348 0.270861 -0.207867 0.939907 -0.946635 -0.234711 0.220892 
0.734688 0.113427 0.026770 -0.933449 0.303007 0.191989 0.020768 -0.488672 0.872220 0.358109 0.818160 0.449857 0.836307 0.138752 -0.020239 -0.930463 0.323691 0.171645 -0.070115 -0.617139 0.783724 0.359613 0.717191 0.596921 
5.778166 4.213585 -1.633744 -0.811413 -0.011214 0.584366 0.458739 0.607320 0.648630 0.362171 -0.794378 0.487643 3.640867 2.869922 -1.812805 -0.521933 0.118101 0.844771 0.650057 0.696301 0.304287 0.552278 -0.707967 0.440195 
0.946151 0.425228 0.164351 -0.814183 0.109660 0.570158 0.272246 -0.795251 0.541718 0.512824 0.596281 0.617625 0.946151 0.425228 0.164351 -0.814183 0.109660 0.570158 0.272246 -0.795251 0.541718 0.512824 0.596281 0.617625 
1.165678 0.927713 -0.348789 0.141979 0.145820 0.979070 -0.399696 -0.896427 0.191473 -0.905586 0.418516 0.068990 1.165678 0.927713 -0.348789 0.141979 0.145820 0.979070 -0.399696 -0.896427 0.191473 -0.905586 0.418516 0.068990 
0.462739 0.270792 -0.387133 -0.817510 0.566303 0.104775 0.566544 0.758104 0.322965 -0.103466 -0.323387 0.940593 0.557472 0.316789 -0.421165 -0.777573 0.612404 0.142624 0.627777 0.743192 0.231434 -0.035734 -0.269493 0.962339 
2.356205 0.863921 -2.128133 -0.835111 -0.203311 0.511131 0.502769 0.094899 0.859196 -0.223190 0.974504 0.022968 2.356205 0.863921 -2.128133 -0.835111 -0.203311 0.511131 0.502769 0.094899 0.859196 -0.223190 0.974504 0.022968 
5.935845 4.399687 3.699234 0.470512 -0.235699 0.850332 -0.249502 0.888803 0.384419 -0.846385 -0.393034 0.359385 5.935845 4.399687 3.699234 0.470512 -0.235699 0.850332 -0.249502 0.888803 0.384419 -0.846385 -0.393034 0.359385 
