#x1 y1 z1 m1 x2 y2 z2 m2 nx ny nz disp1 disp2
#        5520
   0.023 116.874  13.448  2.3537e+11   0.150 116.305  13.309  3.3957e+11   0.247   0.245  -0.776   0.014   0.024
   0.150 116.305  13.309  3.3957e+11   0.023 116.874  13.448  2.3537e+11   0.247   0.245  -0.776   0.000   0.000
   0.240 158.287  52.916  3.3835e+11   0.312 158.511  53.232  9.8794e+11  -0.198   0.298  -0.166   0.243   0.219
   0.268  86.912  92.811  3.2722e+12   0.705  87.246  92.675  2.1599e+12  -0.027  -0.041  -0.185   0.070   0.092
   0.312 158.511  53.232  9.8794e+11   0.240 158.287  52.916  3.3835e+11  -0.198   0.298  -0.166   0.070   0.081
   0.372 217.732  75.897  4.4580e+12   0.395 217.347  75.802  5.2114e+11   0.113   0.136  -0.521   0.483   0.369
   0.384 126.207  33.273  3.1575e+12   0.461 126.066  33.125  3.6204e+13   0.116   0.076  -0.012   0.339   0.230
   0.395 217.347  75.802  5.2114e+11   0.372 217.732  75.897  4.4580e+12   0.113   0.136  -0.521   0.171   0.236
   0.440  23.799  24.688  5.3727e+11   0.231  23.985  25.152  2.0786e+11   0.321  -0.426   0.316   0.123   0.126
   0.566  78.278 183.749  2.4763e+12   0.772  78.189 184.080  1.6915e+12  -0.000   0.043   0.012   0.043   0.035
   0.597 120.456 236.602  2.9919e+11   0.078 120.007 236.573  5.3930e+10   0.486  -0.548  -0.219   0.050   0.045
   0.648  13.919 230.739  6.9648e+10   0.853  14.030 230.424  6.6125e+10   0.154   0.522   0.284   0.117   0.125
   0.669  57.039  89.764  7.0231e+11   0.582  57.112  89.370  1.5407e+11  -0.247   0.694   0.185   0.012   0.017
   0.712   7.025 155.519  1.6016e+11   0.875   6.628 155.595  1.6843e+11   0.179   0.145   0.368   0.227   0.237
   0.733 155.443   0.803  2.6230e+12   0.031 154.978   1.097  6.4946e+11   0.190   0.058   0.546   0.000   0.000
   0.745 163.715 116.492  1.6355e+11   1.032 163.392 116.557  6.0434e+10  -0.355  -0.317  -0.004   0.083   0.090
   0.787  58.355 209.509  1.0795e+12   0.808  58.785 209.700  3.5176e+11   0.067   0.129  -0.298   0.131   0.097
   0.813 127.781 103.666  1.9371e+12   0.978 127.576 103.320  3.6233e+11   0.092  -0.306   0.226   0.073   0.100
   0.814  21.583  69.762  1.7695e+12   0.426  21.150  69.611  7.1952e+11   0.404  -0.157  -0.590   0.027   0.036
   0.875   6.628 155.595  1.6843e+11   0.712   7.025 155.519  1.6016e+11   0.179   0.145   0.368   0.031   0.028
   0.959 243.405   8.729  1.0367e+12   1.131 243.281   8.526  5.7764e+11  -0.573   0.108  -0.555   0.456   0.366
   0.978 127.576 103.320  3.6233e+11   0.813 127.781 103.666  1.9371e+12   0.092  -0.306   0.226   0.317   0.226
