# eigen3_x eigen3_y eigen3_z x1 y1 z1 x2 y2 z2 nx ny nz
-0.488868 0.700890 0.519386 0.384000 126.207000 33.273000 0.461000 126.066000 33.125000 0.116000 0.076000 -0.012000
-0.358372 -0.897155 0.258228 0.733000 155.443000 0.803000 0.031000 154.978000 1.097000 0.190000 0.058000 0.546000
0.512824 0.596281 0.617625 1.185000 237.348000 191.422000 1.611000 237.885000 191.779000 0.095000 -0.098000 0.034000
-0.111656 0.371939 0.921517 1.395000 137.314000 130.064000 1.726000 137.197000 130.097000 0.065000 0.163000 -0.072000
-0.040445 0.595443 0.802379 1.464000 178.967000 180.506000 1.549000 179.214000 180.953000 -0.029000 -0.090000 0.055000
0.512824 0.596281 0.617625 1.611000 237.885000 191.779000 1.185000 237.348000 191.422000 0.095000 -0.098000 0.034000
0.964663 0.219941 0.145088 1.716000 100.643000 223.337000 1.406000 100.603000 223.314000 -0.005000 0.110000 -0.116000
-0.111656 0.371939 0.921517 1.726000 137.197000 130.097000 1.395000 137.314000 130.064000 0.065000 0.163000 -0.072000
0.035553 0.452580 0.891015 2.049000 66.979000 36.238000 2.081000 67.047000 36.361000 -0.080000 -0.860000 0.501000
0.923040 0.299728 0.241163 2.194000 125.124000 101.321000 2.589000 125.083000 101.304000 0.030000 0.586000 -0.723000
-0.408355 0.384496 0.827894 2.207000 82.526000 88.304000 2.057000 82.907000 88.519000 -0.504000 -0.098000 -0.178000
0.151659 -0.562977 0.812438 2.708000 216.811000 98.492000 2.755000 216.419000 98.993000 0.105000 0.167000 0.121000
-0.021896 0.884267 0.466468 3.100000 114.390000 1.616000 3.025000 114.876000 1.934000 -0.036000 0.213000 -0.335000
0.710869 0.135249 0.690198 3.261000 240.043000 249.586000 3.685000 239.891000 249.164000 0.015000 0.943000 -0.324000
0.427939 0.706166 0.564091 3.476000 116.044000 73.168000 3.536000 116.360000 73.304000 -0.234000 -0.044000 0.205000
0.326020 -0.392229 0.860156 3.542000 80.093000 113.424000 3.778000 79.925000 113.860000 0.097000 -0.272000 -0.157000
-0.521632 -0.190827 0.831556 3.710000 176.238000 121.317000 3.850000 176.306000 121.009000 -0.016000 0.208000 0.039000
0.307628 -0.765658 0.564918 4.155000 174.766000 197.873000 4.348000 174.519000 198.040000 0.102000 0.262000 0.269000
0.789621 -0.286005 0.542863 4.475000 194.704000 94.972000 4.091000 194.735000 94.896000 0.012000 -0.736000 -0.370000
0.655165 0.430971 0.620502 4.941000 180.219000 66.746000 4.415000 179.805000 66.337000 0.150000 -0.103000 -0.088000
-0.840759 0.025504 0.540809 5.107000 126.738000 196.160000 4.818000 126.726000 196.406000 -0.446000 -0.375000 -0.544000
-0.446701 -0.889457 0.096562 5.139000 182.587000 215.900000 5.114000 183.011000 216.120000 -0.085000 0.031000 -0.070000
0.423434 -0.364731 0.829261 6.573000 178.343000 31.134000 7.052000 178.234000 31.678000 0.395000 -0.630000 -0.473000
-0.763094 -0.611759 0.208422 6.872000 65.169000 196.689000 6.716000 64.890000 196.820000 -0.057000 0.146000 0.242000
-0.325204 -0.942605 0.075747 6.965000 247.385000 64.206000 6.917000 247.951000 64.339000 -0.228000 0.047000 -0.284000
0.432187 -0.880883 0.193028 7.037000 4.806000 36.371000 7.248000 4.367000 36.551000 -0.428000 -0.211000 -0.014000
0.530510 -0.292003 0.795797 7.052000 178.234000 31.678000 6.573000 178.343000 31.134000 0.395000 -0.630000 -0.473000
0.324699 -0.250170 0.912132 7.190000 49.160000 82.510000 7.311000 49.061000 82.943000 0.020000 -0.147000 -0.039000
0.636440 0.734486 0.235530 7.422000 183.907000 69.271000 7.764000 184.303000 69.438000 -0.285000 0.316000 -0.165000
0.012704 -0.321508 0.946822 7.799000 223.757000 14.334000 7.920000 223.657000 14.700000 0.139000 -0.234000 -0.110000
