#x1 y1 z1 m1 x2 y2 z2 m2 sigma_h  
#          47
   0.978 127.576 103.320  3.6233e+11   0.813 127.781 103.666  1.9371e+12   50.61
   7.581 204.851 207.703  1.1426e+12   7.340 204.562 207.961  5.8483e+11   62.40
   9.791  51.139 147.355  3.8225e+11   9.980  51.474 147.097  2.9683e+12   61.69
  11.541 104.632 248.151  1.3020e+12  11.160 104.664 248.224  5.0542e+11   47.40
  12.363  47.284  60.729  1.6328e+11  12.224  47.355  61.171  1.5412e+12   43.33
  13.668 183.669 231.548  9.9675e+11  13.971 183.896 231.568  1.0424e+12   47.73
  32.515 221.598  94.116  1.6850e+12  32.124 221.728  94.225  3.6477e+11   46.16
  45.984 234.995  68.206  2.0407e+11  46.304 235.085  68.488  7.2317e+11   65.55
  48.265 162.308  44.700  6.7344e+10  48.167 162.676  44.537  1.0416e+12   54.80
  68.449  81.056  50.613  6.3849e+11  68.340  81.064  51.040  1.3144e+12   61.28
  69.567  89.325 193.887  3.5610e+11  69.832  89.599 194.021  1.0444e+12   57.78
  69.832  89.599 194.021  1.0444e+12  69.567  89.325 193.887  3.5610e+11   50.12
  70.184  28.922  73.237  1.1865e+12  70.226  29.058  73.692  2.4214e+11   62.52
  71.386  81.811  93.030  1.4409e+12  71.566  81.941  93.367  5.8740e+11   42.81
  72.018 161.182 154.407  4.7290e+11  72.374 161.109 154.352  2.5539e+12   43.61
  72.374 161.109 154.352  2.5539e+12  72.018 161.182 154.407  4.7290e+11   42.52
  75.540  92.663 191.797  8.8036e+11  75.252  92.935 192.053  2.0909e+12   61.51
  78.937 152.907 232.319  1.2417e+12  78.601 152.712 232.378  3.0320e+12   51.27
  81.926  98.335  55.487  1.3088e+12  82.173  98.543  55.717  1.8220e+12   49.98
  91.280  54.747 197.287  1.8117e+12  91.045  54.914 197.100  8.6139e+11   46.67
  92.381 159.782  23.944  2.4404e+11  92.687 159.522  24.165  1.3431e+12   40.72
  94.440  27.581 172.011  1.1518e+11  94.614  27.868 172.169  1.1278e+12   44.78
  95.825  98.837  44.411  1.9687e+12  95.974  98.653  44.827  6.2751e+11   59.93
 102.230  29.471 112.239  5.1735e+11 102.457  29.773 112.182  1.9056e+12   41.85
 106.741  86.584 220.292  1.1703e+12 106.697  86.527 219.884  1.7571e+12   67.99
 110.476 153.789 157.948  1.3629e+12 110.446 153.937 158.391  2.3252e+11   48.31
 114.131  23.409 109.501  1.9127e+12 113.800  23.397 109.883  1.3951e+12   56.96
 117.058 181.521  30.972  5.4960e+11 116.888 181.174  30.878  2.1382e+11   61.93
 122.654 152.048  59.477  1.0976e+12 122.588 151.732  59.790  1.6814e+12   51.47
 136.396 205.509   3.042  2.6118e+12 136.406 205.137   2.648  2.8903e+11   50.90
 139.872 164.083 192.490  2.3760e+12 140.195 163.969 192.851  2.2466e+11   48.29
 145.609 125.873  66.792  1.3217e+12 146.024 126.158  66.958  9.8185e+11   44.93
 146.024 126.158  66.958  9.8185e+11 145.609 125.873  66.792  1.3217e+12   44.20
 146.536  36.392  19.171  1.0691e+11 146.275  36.679  19.441  1.3732e+12   43.00
 155.753 122.394 170.997  1.2283e+12 155.564 122.832 171.080  5.0840e+11   63.78
 165.157  69.421 158.595  5.1843e+11 165.462  69.492 158.301  1.4348e+12   45.12
 166.645 211.140  40.822  1.1300e+12 166.982 210.795  41.075  6.6559e+11   40.37
 171.384  90.421  63.921  1.7493e+11 171.244  90.792  64.110  9.6911e+11   44.73
 182.854   7.338  77.450  2.2476e+12 182.772   7.092  77.491  4.5962e+11   65.22
 186.632 205.816  24.240  1.5068e+12 186.734 205.907  24.704  5.8388e+11   42.09
 189.161  83.552 245.071  7.7805e+11 189.080  83.083 245.402  9.7738e+11   51.77
 192.453  45.374 140.872  9.5204e+11 192.042  45.323 141.143  5.0962e+11   37.30
 194.943 175.837 234.546  2.0501e+11 195.256 175.664 234.299  1.3175e+12   55.74
 223.098  99.585  15.837  3.1951e+11 222.888  99.679  16.103  8.9472e+11   61.72
 224.430 151.569  65.056  7.6518e+11 224.523 151.279  65.289  3.6152e+11   63.64
 228.486 181.141  47.556  1.0493e+12 228.490 180.872  47.722  1.0301e+12   54.39
 240.232  79.031 143.085  2.8604e+11 240.531  78.919 143.360  1.3207e+12   47.06
