#x1 y1 z1 m1 x2 y2 z2 m2 sigma_h  
#         122
   0.978 127.576 103.320  3.6233e+11   0.813 127.781 103.666  1.9371e+12   50.61
   7.581 204.851 207.703  1.1426e+12   7.340 204.562 207.961  5.8483e+11   62.40
   9.204 114.670 152.057  2.2207e+12   9.726 114.792 152.178  4.9675e+11   50.21
   9.791  51.139 147.355  3.8225e+11   9.980  51.474 147.097  2.9683e+12   61.69
  11.541 104.632 248.151  1.3020e+12  11.160 104.664 248.224  5.0542e+11   43.12
  12.363  47.284  60.729  1.6328e+11  12.224  47.355  61.171  1.5412e+12   43.33
  13.668 183.669 231.548  9.9675e+11  13.971 183.896 231.568  1.0424e+12   47.73
  22.536 200.382  30.655  1.5691e+12  22.553 200.004  30.569  4.5759e+11   40.37
  27.410  83.099 184.243  6.5854e+11  26.995  83.047 184.071  6.5420e+11   48.97
  32.515 221.598  94.116  1.6850e+12  32.124 221.728  94.225  3.6477e+11   46.21
  36.129  29.041 112.727  2.5068e+11  35.927  29.115 113.116  7.7195e+11   56.87
  38.924  83.950  64.259  5.0651e+11  38.936  84.168  64.517  1.1958e+12   59.84
  45.984 234.995  68.206  2.0407e+11  46.304 235.085  68.488  7.2317e+11   63.97
  48.265 162.308  44.700  6.7344e+10  48.167 162.676  44.537  1.0416e+12   54.80
  48.429 248.083 236.771  7.4025e+11  48.918 248.019 236.963  1.7358e+11   60.41
  50.009  19.661 180.743  9.8103e+11  50.391  20.030 180.851  1.3542e+12   58.66
  51.715  78.507 154.701  1.4501e+12  51.911  78.700 155.166  1.0258e+11   52.71
  52.518  58.414 199.918  2.2476e+12  52.389  58.055 200.044  5.4878e+11   59.02
  55.317  66.671 180.575  1.2974e+12  54.974  66.301 180.918  2.2710e+11   58.55
  55.991  99.100 143.826  2.0663e+12  55.705  98.647 143.994  4.9716e+11   45.48
  64.098 183.156 233.173  1.4393e+12  63.929 183.421 233.642  5.0583e+11   69.68
  67.165  76.670 101.550  1.2572e+12  67.339  76.537 101.892  2.3613e+12   59.36
  68.449  81.056  50.613  6.3849e+11  68.340  81.064  51.040  1.3144e+12   64.79
  69.567  89.325 193.887  3.5610e+11  69.832  89.599 194.021  1.0444e+12   57.78
  69.660 188.848 109.255  8.2846e+11  70.183 188.895 109.241  7.0475e+11   57.26
  69.832  89.599 194.021  1.0444e+12  69.567  89.325 193.887  3.5610e+11   50.12
  70.184  28.922  73.237  1.1865e+12  70.226  29.058  73.692  2.4214e+11   62.52
  71.386  81.811  93.030  1.4409e+12  71.566  81.941  93.367  5.8740e+11   42.81
  72.018 161.182 154.407  4.7290e+11  72.374 161.109 154.352  2.5539e+12   43.61
  72.374 161.109 154.352  2.5539e+12  72.018 161.182 154.407  4.7290e+11   56.13
  72.897 185.675 124.848  2.5054e+11  72.978 185.772 125.154  8.7534e+11   43.75
  73.491 242.517 214.160  1.1675e+12  73.316 242.461 213.735  4.3781e+11   56.46
  75.540  92.663 191.797  8.8036e+11  75.252  92.935 192.053  2.0909e+12   67.38
  78.937 152.907 232.319  1.2417e+12  78.601 152.712 232.378  3.0320e+12   51.27
  81.926  98.335  55.487  1.3088e+12  82.173  98.543  55.717  1.8220e+12   52.73
  85.296 179.729 192.065  1.1823e+12  85.497 179.337 192.413  5.4458e+11   61.08
  85.387 207.325  34.851  3.1477e+11  85.375 207.706  35.202  8.0840e+11   37.01
  86.330 249.863  16.282  5.5136e+11  86.289 249.991  16.000  3.2577e+12   56.69
  86.674 192.470 244.037  8.1166e+10  86.671 192.630 243.730  1.9546e+12   56.85
  90.763  75.943 130.244  1.9973e+11  90.404  76.060 130.663  1.6741e+12   49.29
  91.045  54.914 197.100  8.6139e+11  91.280  54.747 197.287  1.8117e+12   50.91
  91.280  54.747 197.287  1.8117e+12  91.045  54.914 197.100  8.6139e+11   46.67
  92.381 159.782  23.944  2.4404e+11  92.687 159.522  24.165  1.3431e+12   40.72
  92.767 198.191  16.981  3.0474e+11  92.797 197.674  17.094  1.4091e+12   47.29
  94.440  27.581 172.011  1.1518e+11  94.614  27.868 172.169  1.1278e+12   41.10
  95.825  98.837  44.411  1.9687e+12  95.974  98.653  44.827  6.2751e+11   59.93
  95.826 224.672 161.475  1.3356e+12  95.561 225.020 161.567  3.8347e+11   59.10
  96.825  77.675  98.908  1.3266e+11  97.081  77.441  99.028  2.2859e+12   60.56
 102.230  29.471 112.239  5.1735e+11 102.457  29.773 112.182  1.9056e+12   41.85
 102.258 180.787  61.286  2.1640e+11 102.622 180.440  61.547  2.2190e+12   43.48
 102.600 165.245  36.983  1.3523e+11 103.051 165.256  36.939  6.6789e+11   65.86
 103.965  45.127 178.223  1.6098e+11 103.978  45.369 178.346  2.5424e+12   60.72
 105.462  95.443 168.095  9.9323e+10 105.844  95.496 167.716  2.1699e+12   40.08
 106.452 105.751 150.135  7.9851e+11 106.199 105.809 149.920  2.3591e+11   47.48
 106.741  86.584 220.292  1.1703e+12 106.697  86.527 219.884  1.7571e+12   67.99
 109.942  93.497  89.283  8.8889e+11 109.521  93.619  89.258  1.6453e+12   55.46
 110.476 153.789 157.948  1.3629e+12 110.446 153.937 158.391  2.3252e+11   48.31
 111.120  74.548 239.174  3.5867e+11 111.281  74.961 239.099  1.4408e+12   56.06
 111.469 209.406 233.486  6.9092e+11 111.673 209.693 233.724  5.5027e+11   59.31
 113.965  69.757   5.409  5.7155e+11 114.162  69.997   5.104  1.2855e+12   59.46
 114.131  23.409 109.501  1.9127e+12 113.800  23.397 109.883  1.3951e+12   56.96
